Ship:Component
Juror Class:M3400 Void Engine-Balanced
Juror Class:Barracks 3
Juror Class:Officer Cabin
Juror Class:Cargo Hold 1
Juror Class:Passenger Cabin
Juror Class:Bridge
Juror Class:M3400 Hyperwarp
Juror Class:Light Railgun
Juror Class:Hellfire Torpedo
Juror Class:Weapons Locker A1
Juror Class:Officer Cabin
Juror Class:Armored Bulkheads
Juror Class:Hellfire Torpedo
Juror Class:Phoenix Lance
Juror Class:Officer Cabin
Paladin Cruiser:M5000 Void Engine-Balanced
Paladin Cruiser:Officer Cabin
Paladin Cruiser:Barracks 3
Paladin Cruiser:Bridge
Paladin Cruiser:Weapons Locker A1
Paladin Cruiser:Cargo Hold 1
Paladin Cruiser:Imperator PC-1
Paladin Cruiser:Passenger Cabin
Paladin Cruiser:Medical Bay
Paladin Cruiser:Ares Missile System
Paladin Cruiser:Cargo Hold 1
Paladin Cruiser:M5000 Hyperwarp
Paladin Cruiser:Officer Cabin
Paladin Cruiser:Officer Cabin
Paladin Cruiser:Mass Dampener 1
Paladin Cruiser:Hellfire Torpedo
Paladin Cruiser:Large Fuel Tank
Paladin Cruiser:Hellfire Torpedo
Paladin Cruiser:Phoenix Lance
Fidelis Cutter:Officer Cabin
Fidelis Cutter:Cargo Hold 1
Fidelis Cutter:Officer Cabin
Fidelis Cutter:Hellfire Torpedo
Fidelis Cutter:Cargo Hold 1
Fidelis Cutter:M6000 Void Engine-Balanced
Fidelis Cutter:Medical Bay
Fidelis Cutter:Officer Cabin
Fidelis Cutter:Officer Cabin
Fidelis Cutter:Barracks 4
Fidelis Cutter:M6000 Hyperwarp
Fidelis Cutter:Pilot Assist Module
Fidelis Cutter:Capital Bridge
Fidelis Cutter:Deflector Array
Fidelis Cutter:Sensor Array 1
Fidelis Cutter:Torpedo Mk-Alpha
Fidelis Cutter:Ares Missile System
Fidelis Cutter:Nav Assist Module
Fidelis Cutter:Adv. Mass Dampener 1
Fidelis Cutter:Weapons Locker A1
Fidelis Cutter:Passenger Cabin
Fidelis Cutter:Imperator PC-1
Fidelis Cutter:Armored Bulkheads
Scout Cutter:M2400 Void Engine-Balanced
Scout Cutter:Barracks 2
Scout Cutter:Hellfire Torpedo
Scout Cutter:Cargo Hold 2
Scout Cutter:Officer Cabin
Scout Cutter:Bridge
Scout Cutter:M2400 Hyperwarp
Scout Cutter:Phoenix Lance
Scout Cutter:Hellfire Torpedo
Scout Cutter:Mass Dampener 1
Scout Cutter:Reactor Spike Module
Scout Cutter:Officer Cabin
Scout Cutter:Weapons Locker A1
Cautela Heavylift:M7000 Void Engine-Balanced
Cautela Heavylift:Officer Cabin
Cautela Heavylift:Hellfire Torpedo
Cautela Heavylift:Capital Bridge
Cautela Heavylift:Barracks 2
Cautela Heavylift:Armored Bulkheads
Cautela Heavylift:Passenger Cabin
Cautela Heavylift:Ares Missile System
Cautela Heavylift:M7000 Hyperwarp
Cautela Heavylift:Barracks 2
Cautela Heavylift:Phoenix Lance
Cautela Heavylift:Hellfire Torpedo
Cautela Heavylift:Torpedo Mk-Alpha
Cautela Heavylift:Officer Cabin
Cautela Heavylift:Officer Cabin
Cautela Heavylift:Reinforced Structures
Cautela Heavylift:Imperator PC-1
Cautela Heavylift:Imperator PC-1
Cautela Heavylift:Cargo Hold 2
Cautela Heavylift:Officer Cabin
Cautela Heavylift:Medical Bay
Cautela Heavylift:Fuel Tank
Cautela Heavylift:Weapons Locker A1
Dragoon Cruiser:M7000 Void Engine-Balanced
Dragoon Cruiser:Officer Cabin
Dragoon Cruiser:Hellfire Torpedo
Dragoon Cruiser:Capital Bridge
Dragoon Cruiser:Barracks 2
Dragoon Cruiser:Valiant Autocannon
Dragoon Cruiser:Valiant Autocannon
Dragoon Cruiser:Starshot Lance Array
Dragoon Cruiser:M7000 Hyperwarp
Dragoon Cruiser:Barracks 2
Dragoon Cruiser:Phoenix Lance
Dragoon Cruiser:Hellfire Torpedo
Dragoon Cruiser:Luxury Cabin
Dragoon Cruiser:Officer Cabin
Dragoon Cruiser:Officer Cabin
Dragoon Cruiser:Reinforced Structures
Dragoon Cruiser:Imperator PC-1
Dragoon Cruiser:Imperator PC-1
Dragoon Cruiser:Cargo Hold 2
Dragoon Cruiser:Officer Cabin
Dragoon Cruiser:Medical Bay
Dragoon Cruiser:Fuel Tank
Dragoon Cruiser:Weapons Locker A1
Frontier Liner:M5000 Void Engine-Balanced
Frontier Liner:Officer Cabin
Frontier Liner:Barracks 3
Frontier Liner:Bridge
Frontier Liner:Light Railgun
Frontier Liner:Cargo Hold 1
Frontier Liner:Imperator PC-1
Frontier Liner:Passenger Cabin
Frontier Liner:Torpedo Mk-Alpha
Frontier Liner:Archangel Railgun
Frontier Liner:Cargo Hold 1
Frontier Liner:M5000 Hyperwarp
Frontier Liner:Officer Cabin
Frontier Liner:Officer Cabin
Frontier Liner:Weapons Locker A2
Frontier Liner:Hellfire Torpedo
Frontier Liner:Valiant Autocannon
Frontier Liner:Phoenix Lance
Guardian Interceptor:Officer Cabin
Guardian Interceptor:Cargo Hold 1
Guardian Interceptor:Officer Cabin
Guardian Interceptor:Hellfire Torpedo
Guardian Interceptor:Cargo Hold 1
Guardian Interceptor:M6000 Void Engine-Balanced
Guardian Interceptor:Luxury Cabin
Guardian Interceptor:Officer Cabin
Guardian Interceptor:Officer Cabin
Guardian Interceptor:Barracks 4
Guardian Interceptor:M6000 Hyperwarp
Guardian Interceptor:Pilot Assist Module
Guardian Interceptor:Capital Bridge
Guardian Interceptor:Deflector Array
Guardian Interceptor:Sensor Array 1
Guardian Interceptor:Torpedo Mk-Alpha
Guardian Interceptor:Starshot Lance Array
Guardian Interceptor:Nav Assist Module
Guardian Interceptor:Adv. Mass Dampener 1
Guardian Interceptor:Weapons Locker A1
Guardian Interceptor:Light Railgun
Guardian Interceptor:Light Railgun
Guardian Interceptor:Hellfire Torpedo
Broadsword Class:M8000 Void Engine-Balanced
Broadsword Class:Officer Cabin
Broadsword Class:Barracks 5
Broadsword Class:Capital Bridge
Broadsword Class:Imperator PC-1
Broadsword Class:Cargo Hold 1
Broadsword Class:Imperator PC-1
Broadsword Class:Weapons Locker A1
Broadsword Class:Deflector Array
Broadsword Class:Archangel Railgun
Broadsword Class:M8000 Hyperwarp
Broadsword Class:Mass Reducer 1
Broadsword Class:Officer Cabin
Broadsword Class:Officer Cabin
Broadsword Class:Officer Cabin
Broadsword Class:Hellfire Torpedo
Broadsword Class:Hellfire Torpedo
Broadsword Class:Phoenix Lance
Broadsword Class:Hellfire Torpedo
Broadsword Class:Adv. Mass Dampener 1
Broadsword Class:Medical Bay
Broadsword Class:Reinforced Structures
Broadsword Class:Cargo Hold 2
Broadsword Class:Mass Reducer 1
Broadsword Class:Ares Missile System
Broadsword Class:Large Fuel Tank
Broadsword Class:Hull Plating 1
Broadsword Class:Reactor Spike Module
Broadsword Class:Officer Cabin
Galtak Freighter:M5000 Void Engine-Balanced
Galtak Freighter:Officer Cabin
Galtak Freighter:Passenger Cabin
Galtak Freighter:Bridge
Galtak Freighter:Cargo Hold 1
Galtak Freighter:Imperator PC-1
Galtak Freighter:Armored Bulkheads
Galtak Freighter:Hydra Missile Array
Galtak Freighter:Barracks 3
Galtak Freighter:Cargo Hold 1
Galtak Freighter:M5000 Hyperwarp
Galtak Freighter:Officer Cabin
Galtak Freighter:Officer Cabin
Galtak Freighter:Hellfire Torpedo
Galtak Freighter:Hellfire Torpedo
Galtak Freighter:Phoenix Lance
Galtak Freighter:Cargo Hold 1
Galtak Freighter:Nav Assist Module
Galtak Freighter:Weapons Locker A1
Lightbow Raptor:M3400 Void Engine-Balanced
Lightbow Raptor:Barracks 3
Lightbow Raptor:Officer Cabin
Lightbow Raptor:Cargo Hold 1
Lightbow Raptor:Passenger Cabin
Lightbow Raptor:Bridge
Lightbow Raptor:M3400 Hyperwarp
Lightbow Raptor:Mass Dampener 1
Lightbow Raptor:Hellfire Torpedo
Lightbow Raptor:Weapons Locker A1
Lightbow Raptor:Officer Cabin
Lightbow Raptor:Hellfire Torpedo
Lightbow Raptor:Ares Missile System
Lightbow Raptor:Phoenix Lance
Lightbow Raptor:Reinforced Structures
Lightbow Raptor:Mass Dampener 1
Longbow Cruiser:M5000 Void Engine-Balanced
Longbow Cruiser:Officer Cabin
Longbow Cruiser:Luxury Suites
Longbow Cruiser:Bridge
Longbow Cruiser:Cargo Hold 1
Longbow Cruiser:Imperator PC-1
Longbow Cruiser:Armored Bulkheads
Longbow Cruiser:Hydra Missile Array
Longbow Cruiser:Barracks 3
Longbow Cruiser:Cargo Hold 1
Longbow Cruiser:M5000 Hyperwarp
Longbow Cruiser:Officer Cabin
Longbow Cruiser:Officer Cabin
Longbow Cruiser:Hellfire Torpedo
Longbow Cruiser:Hellfire Torpedo
Longbow Cruiser:Phoenix Lance
Longbow Cruiser:Adv. Mass Dampener 1
Longbow Cruiser:Mass Dampener 1
Longbow Cruiser:Fuel Tank
Longbow Cruiser:Weapons Locker A1
Longbow Cruiser:Starshot Lance Array
Raptor Class:Officer Cabin
Raptor Class:Cargo Hold 1
Raptor Class:Officer Cabin
Raptor Class:Hellfire Torpedo
Raptor Class:Cargo Hold 1
Raptor Class:M6000 Void Engine-Balanced
Raptor Class:Medical Bay
Raptor Class:Officer Cabin
Raptor Class:Officer Cabin
Raptor Class:Barracks 4
Raptor Class:M6000 Hyperwarp
Raptor Class:Pilot Assist Module
Raptor Class:Capital Bridge
Raptor Class:Ares Missile System
Raptor Class:Sensor Array 1
Raptor Class:Torpedo Mk-Alpha
Raptor Class:Starshot Lance Array
Raptor Class:Nav Assist Module
Raptor Class:Adv. Mass Dampener 4
Raptor Class:Weapons Locker A1
Raptor Class:Passenger Cabin
Raptor Class:Imperator PC-1
Raptor Class:Fuel Tank
Solar Predator:M5000 Void Engine-Balanced
Solar Predator:Officer Cabin
Solar Predator:Barracks 3
Solar Predator:Bridge
Solar Predator:Light Railgun
Solar Predator:Cargo Hold 1
Solar Predator:Imperator PC-1
Solar Predator:Passenger Cabin
Solar Predator:Adv. Mass Dampener 1
Solar Predator:Archangel Railgun
Solar Predator:Cargo Hold 1
Solar Predator:M5000 Hyperwarp
Solar Predator:Officer Cabin
Solar Predator:Officer Cabin
Solar Predator:Weapons Locker A2
Solar Predator:Hellfire Torpedo
Solar Predator:Armored Bulkheads
Solar Predator:Phoenix Lance
Solar Predator:Phoenix Lance
Solar Predator:Hospital Unit
Vengeance Class:Officer Cabin
Vengeance Class:Cargo Hold 1
Vengeance Class:Officer Cabin
Vengeance Class:Hellfire Torpedo
Vengeance Class:Hull Plating 1
Vengeance Class:M6000 Void Engine-Balanced
Vengeance Class:Battle Prow 1
Vengeance Class:Officer Cabin
Vengeance Class:Officer Cabin
Vengeance Class:Barracks 4
Vengeance Class:M6000 Hyperwarp
Vengeance Class:Pilot Assist Module
Vengeance Class:Capital Bridge
Vengeance Class:Deflector Array
Vengeance Class:Sensor Array 1
Vengeance Class:Torpedo Mk-Alpha
Vengeance Class:Ares Missile System
Vengeance Class:Nav Assist Module
Vengeance Class:Adv. Mass Dampener 1
Vengeance Class:Weapons Locker A1
Vengeance Class:Mass Dampener 1
Vengeance Class:Light Railgun
Vengeance Class:Light Railgun
Vengeance Class:Hellfire Torpedo
Warhammer Class:M8000 Void Engine-Balanced
Warhammer Class:Officer Cabin
Warhammer Class:Barracks 5
Warhammer Class:Capital Bridge
Warhammer Class:Mass Dampener 1
Warhammer Class:Cargo Hold 1
Warhammer Class:Imperator PC-1
Warhammer Class:Weapons Locker A1
Warhammer Class:Deflector Array
Warhammer Class:Archangel Railgun
Warhammer Class:M8000 Hyperwarp
Warhammer Class:Reinforced Structures
Warhammer Class:Officer Cabin
Warhammer Class:Officer Cabin
Warhammer Class:Officer Cabin
Warhammer Class:Hellfire Torpedo
Warhammer Class:Hellfire Torpedo
Warhammer Class:Phoenix Lance
Warhammer Class:Hellfire Torpedo
Warhammer Class:Adv. Mass Dampener 1
